SLNF;2008年9月初，全国各地医院都发现许多数月大的婴儿患上泌尿结石病症，这些婴儿的共同点是长期食用同一品牌奶粉，后被证实是三鹿牌婴幼儿奶粉。毒奶粉事件就此爆发。此后，陆续发现圣元、蒙牛、伊利、光明等品牌的牛奶三聚氰胺超标。卫生部的统计数据显示，从2008年9月12日至17日8时，各地报告临床诊断患儿一共有6244例，另有3例婴儿死亡病例。10月7日，国家质量监督检验检疫总局、国家标准化管理委员会批准发布了《原料乳与乳制品中三聚氰胺检测方法》(GB/T22388-2008) 国家标准，规定了三聚氰胺的检测方法的检测定量限。;;;;;;;;;;;x
SZ7H;2008年9月25日21点10分04秒988毫秒，神舟七号发射升空。飞船于2008年9月28日17点37分成功着陆于中国内蒙古四子王旗主着陆场。神舟七号飞船共计飞行2天20小时28分钟。中国航天员迈向太空的“第一步”，将引领一个时代，开辟一个新世纪。;;;;;;;;;;;x
ZGSJDSDJJT;中国国家统计局将2007年中国国内生产总值的现价总量修正为257306亿人民币，按平均汇率计算，中国超越德国成为世界第三大经济体。;;;;;;;;;;;x
60NGQYB;解放军总参谋部作战部战略规划局副局长蔡怀烈向新华社记者证实，国庆60周年阅兵的准备工作已经展开。;;;;;;;;;;;x
SLNFX;三鹿问题奶粉系列刑事案件在石家庄市中级人民法院一审宣判。三鹿集团原董事长田文华被判处无期徒刑，剥夺政治权利终身。生产销售含三聚氰胺混合物的张玉军被判处死刑；张彦章被判处无期徒刑。向原奶中添加含有三聚氰胺混合物并销售给三鹿集团的耿金平被判处死刑。生产销售含有三聚氰胺混合物的高俊杰被判处死刑、缓期两年；薛建忠被判处无期徒刑。其他人被判有期徒刑。;;;;;;;;;;;x
MGRQWT;中国国务院新闻办公室发表《2008年美国的人权纪录》，以回应美国国务院25日发表的《2008年国别人权报告》对包括中国在内的世界190多个国家和地区的人权状况的指责。;;;;;;;;;;;x
FLBMSZDS;该法案将中国的黄岩岛和南沙群岛部分岛礁划为菲律宾领土。中国政府重申：黄岩岛和南沙群岛历来都是中国领土的一部分。中华人民共和国对这些岛屿及其附近海域拥有无可争辩的主权。任何其他国家对黄岩岛和南沙群岛的岛屿提出领土主权要求，都是非法和无效的。;;;;;;;;;;;x
WLMQDZQSBLFZ;2009年7月5日20时左右，新疆乌鲁木齐市发生打砸抢烧严重暴力犯罪事件，造成多名无辜群众和一名武警被杀害，部分群众和武警受伤，多部车辆被烧毁，多家商店被砸被烧。事实表明，这是一起由境外遥控指挥、煽动，境内具体组织实施，有预谋、有组织的暴力犯罪。新疆维吾尔自治区党委、政府高度重视，及时调集警力处置，事态得到有效控制。;;;;;;;;;;;x
ZGQY500Q;2009中国企业500强名单及分析报告9月5日公布，中国石化位居榜首，入围门槛从上年的93.1亿元上升为105.4亿元，首次突破百亿元大关。而且，中国企业500强在世界企业500强中的比重继续攀升，收入利润率等绩效指标首次超过世界及美国500强。 ;;;;;;;;;;;x
SHZZDBC;中国国务院总理温家宝主持会议。哈萨克斯坦总理马西莫夫、吉尔吉斯斯坦总理丘季诺夫、俄罗斯总理普京、塔吉克斯坦总理阿基洛夫、乌兹别克斯坦总理米尔济亚耶夫以及本组织观察员国代表巴基斯坦总理吉拉尼、伊朗第一副总统拉希米、蒙古对外关系与贸易部长巴特包勒德、印度石油和天然气部长德奥拉与会。阿富汗第二副总统哈利利作为东道国客人出席会议。;;;;;;;;;;;x
QXSSS;中国共产党的优秀党员，忠诚的共产主义战士，享誉海内外的杰出科学家和我国航天事业的奠基人，中国科学院、中国工程院资深院士，中国人民政治协商会议第六届、七届、八届全国委员会副主席钱学森同志，因病于2009年10月31日8时6分在北京逝世，享年98岁。;;;;;;;;;;;x
