fascistic_ALB;Partia Balli Komb雝ar Shqiptar;Partia Balli Komb雝ar Shqiptar;Partia Balli Komb雝ar Shqiptar;;Partia Balli Komb雝ar Shqiptar;;;;;;;;;;x
paternal_autocrat_ALB;Partia Drejt雜i, Integrim dhe Unitet;Partia Drejt雜i, Integrim dhe Unitet;Partia Drejt雜i, Integrim dhe Unitet;;Partia Drejt雜i, Integrim dhe Unitet;;;;;;;;;;x
social_conservative_ALB;Partia Demokrate e Re;Partia Demokrate e Re;Partia Demokrate e Re;;Partia Demokrate e Re;;;;;;;;;;x
market_liberal_ALB;Partia Aleanca Demokratike;Partia Aleanca Demokratike;Partia Aleanca Demokratike;;Partia Aleanca Demokratike;;;;;;;;;;x
social_liberal_ALB;Bashkimi p雛 Fitoren;Bashkimi p雛 Fitoren;Bashkimi p雛 Fitoren;;Bashkimi p雛 Fitoren;;;;;;;;;;x
social_democrat_ALB;Partia Socialdemokrate e Shqip雛is?Partia Socialdemokrate e Shqip雛is?Partia Socialdemokrate e Shqip雛is?;Partia Socialdemokrate e Shqip雛is?;;;;;;;;;x
left_wing_radical_ALB;Partia Socialiste e Shqip雛is?Partia Socialiste e Shqip雛is?Partia Socialiste e Shqip雛is?;Partia Socialiste e Shqip雛is?;;;;;;;;;x
leninist_ALB;Partia L雟izja Pun雝ore Shqiptare;Partia L雟izja Pun雝ore Shqiptare;Partia L雟izja Pun雝ore Shqiptare;;Partia L雟izja Pun雝ore Shqiptare;;;;;;;;;;x
stalinist_ALB;Partia Komuniste e Shqip雛is?Partia Komuniste e Shqip雛is?Partia Komuniste e Shqip雛is?;Partia Komuniste e Shqip雛is?;;;;;;;;;x
national_socialist_ALG;全国伊斯兰阵线;al-Jabhah al-Islamiyah lil-Inqadh;al-Jabhah al-Islamiyah lil-Inqadh;;al-Jabhah al-Islamiyah lil-Inqadh;;;;;;;;;;x
fascistic_ALG;阿拉伯复兴党;Ba'ath Party;Ba'ath Party;;Ba'ath Party;;;;;;;;;;x
paternal_autocrat_ALG;阿尔及利亚民族阵线;Front National Alg閞ien;Front National Alg閞ien;;Front National Alg閞ien;;;;;;;;;;x
social_conservative_ALG;国家改革运动;Harakat Al-Islah Al-Wataniy;Harakat Al-Islah Al-Wataniy;;Harakat Al-Islah Al-Wataniy;;;;;;;;;;x
market_liberal_ALG;阿尔及利亚革新党;Parti du Renouveau Alg閞ien;Parti du Renouveau Alg閞ien;;Parti du Renouveau Alg閞ien;;;;;;;;;;x
social_liberal_ALG;文化与民主联盟;Agraw i Yidles d Tugdut;Agraw i Yidles d Tugdut;;Agraw i Yidles d Tugdut;;;;;;;;;;x
social_democrat_ALG;社会主义力量阵线;Front des Forces Socialistes;Front des Forces Socialistes;;Front des Forces Socialistes;;;;;;;;;;x
left_wing_radical_ALG;民族解放阵线;Jabhet Al-Tahrir Al-Watani;Jabhet Al-Tahrir Al-Watani;;Jabhet Al-Tahrir Al-Watani;;;;;;;;;;x
leninist_ALG;劳工党;Hizb al-Ummal;Hizb al-Ummal;;Hizb al-Ummal;;;;;;;;;;x
stalinist_ALG;民主与社会主义运动;Parti de l'Avant-Garde Socialiste;Parti de l'Avant-Garde Socialiste;;Parti de l'Avant-Garde Socialiste;;;;;;;;;;x
national_socialist_ANG;Verde Angola;Verde Angola;Verde Angola;;Verde Angola;;;;;;;;;;x
fascistic_ANG;Angola Avante!;Angola Avante!;Angola Avante!;;Angola Avante!;;;;;;;;;;x
paternal_autocrat_ANG;UNITA;UNITA;UNITA;;UNITA;;;;;;;;;;x
social_conservative_ANG;FNLA;FNLA;FNLA;;FNLA;;;;;;;;;;x
market_liberal_ANG;Partido de Renova玢o Democr醫ica;Partido de Renova玢o Democr醫ica;Partido de Renova玢o Democr醫ica;;Partido de Renova玢o Democr醫ica;;;;;;;;;;x
social_liberal_ANG;Partido Liberal Democr醫ico;Partido Liberal Democr醫ico;Partido Liberal Democr醫ico;;Partido Liberal Democr醫ico;;;;;;;;;;x
social_democrat_ANG;Partido Social Democrata;Partido Social Democrata;Partido Social Democrata;;Partido Social Democrata;;;;;;;;;;x
left_wing_radical_ANG;Pajoca;Pajoca;Pajoca;;Pajoca;;;;;;;;;;x
leninist_ANG;MPLA;MPLA;MPLA;;MPLA;;;;;;;;;;x
stalinist_ANG;Partido Comunista Angolano;Partido Comunista Angolano;Partido Comunista Angolano;;Partido Comunista Angolano;;;;;;;;;;x
national_socialist_ARG;Verde Argentina;Verde Argentina;Verde Argentina;;Verde Argentina;;;;;;;;;;x
fascistic_ARG;En Uni髇 y Libertad;En Uni髇 y Libertad;En Uni髇 y Libertad;;En Uni髇 y Libertad;;;;;;;;;;x
paternal_autocrat_ARG;Partido Intransigente;Partido Intransigente;Partido Intransigente;;Partido Intransigente;;;;;;;;;;x
social_conservative_ARG;Fuerza Republicana Tucum醤;Fuerza Republicana Tucum醤;Fuerza Republicana Tucum醤;;Fuerza Republicana Tucum醤;;;;;;;;;;x
market_liberal_ARG;Partido Justicialista;Partido Justicialista;Partido Justicialista;;Partido Justicialista;;;;;;;;;;x
social_liberal_ARG;Coalici髇 C韛ica ARI;Coalici髇 C韛ica ARI;Coalici髇 C韛ica ARI;;Coalici髇 C韛ica ARI;;;;;;;;;;x
social_democrat_ARG;Uni髇 C韛ica Radical;Uni髇 C韛ica Radical;Uni髇 C韛ica Radical;;Uni髇 C韛ica Radical;;;;;;;;;;x
left_wing_radical_ARG;Autodeterminaci髇 y Libertad;Autodeterminaci髇 y Libertad;Autodeterminaci髇 y Libertad;;Autodeterminaci髇 y Libertad;;;;;;;;;;x
leninist_ARG;Partido Socialista Aut閚tico;Partido Socialista Aut閚tico;Partido Socialista Aut閚tico;;Partido Socialista Aut閚tico;;;;;;;;;;x
stalinist_ARG;Partido Comunista de la Argentina;Partido Comunista de la Argentina;Partido Comunista de la Argentina;;Partido Comunista de la Argentina;;;;;;;;;;x
national_socialist_ARM;Kanach?Hayastany;Kanach?Hayastany;Kanach?Hayastany;;Kanach?Hayastany;;;;;;;;;;x
fascistic_ARM;Hzor Hayrenik;Hzor Hayrenik;Hzor Hayrenik;;Hzor Hayrenik;;;;;;;;;;x
paternal_autocrat_ARM;Hayastani Hanrapetakan Kusaktsutyun;Hayastani Hanrapetakan Kusaktsutyun;Hayastani Hanrapetakan Kusaktsutyun;;Hayastani Hanrapetakan Kusaktsutyun;;;;;;;;;;x
social_conservative_ARM;Orinats Erkir;Orinats Erkir;Orinats Erkir;;Orinats Erkir;;;;;;;;;;x
market_liberal_ARM;Azgayin Zhoghovrdavarakan Miut抷un;Azgayin Zhoghovrdavarakan Miut抷un;Azgayin Zhoghovrdavarakan Miut抷un;;Azgayin Zhoghovrdavarakan Miut抷un;;;;;;;;;;x
social_liberal_ARM;Hayots Hamazgain Sharzhum;Hayots Hamazgain Sharzhum;Hayots Hamazgain Sharzhum;;Hayots Hamazgain Sharzhum;;;;;;;;;;x
social_democrat_ARM;Hayastani Demokratakan Kusaktsutyun;Hayastani Demokratakan Kusaktsutyun;Hayastani Demokratakan Kusaktsutyun;;Hayastani Demokratakan Kusaktsutyun;;;;;;;;;;x
left_wing_radical_ARM;Bolor Hayeren Ashkhatankayin Kusaktsutyun;Bolor Hayeren Ashkhatankayin Kusaktsutyun;Bolor Hayeren Ashkhatankayin Kusaktsutyun;;Bolor Hayeren Ashkhatankayin Kusaktsutyun;;;;;;;;;;x
leninist_ARM;Hay Yeghapvokhakan Dashnaktsutiwn;Hay Yeghapvokhakan Dashnaktsutiwn;Hay Yeghapvokhakan Dashnaktsutiwn;;Hay Yeghapvokhakan Dashnaktsutiwn;;;;;;;;;;x
stalinist_ARM;Hayastani Komunistakan Kusaktsutyun;Hayastani Komunistakan Kusaktsutyun;Hayastani Komunistakan Kusaktsutyun;;Hayastani Komunistakan Kusaktsutyun;;;;;;;;;;x
national_socialist_AUS;Gr黱 謘terreich;Gr黱 謘terreich;Gr黱 謘terreich;;Gr黱 謘terreich;;;;;;;;;;x
fascistic_AUS;Schwarz-Gelbe Allianz;Schwarz-Gelbe Allianz;Schwarz-Gelbe Allianz;;Schwarz-Gelbe Allianz;;;;;;;;;;x
paternal_autocrat_AUS;Freiheitliche Partei 謘terreichs;Freiheitliche Partei 謘terreichs;Freiheitliche Partei 謘terreichs;;Freiheitliche Partei 謘terreichs;;;;;;;;;;x
social_conservative_AUS;謘terreichische Volkspartei;謘terreichische Volkspartei;謘terreichische Volkspartei;;謘terreichische Volkspartei;;;;;;;;;;x
market_liberal_AUS;Liberales Forum;Liberales Forum;Liberales Forum;;Liberales Forum;;;;;;;;;;x
social_liberal_AUS;Die Sozialliberalen;Die Sozialliberalen;Die Sozialliberalen;;Die Sozialliberalen;;;;;;;;;;x
social_democrat_AUS;Sozialdemokratische Partei 謘terreichs;Sozialdemokratische Partei 謘terreichs;Sozialdemokratische Partei 謘terreichs;;Sozialdemokratische Partei 謘terreichs;;;;;;;;;;x
left_wing_radical_AUS;Bund Demokratischer Sozialisten;Bund Demokratischer Sozialisten;Bund Demokratischer Sozialisten;;Bund Demokratischer Sozialisten;;;;;;;;;;x
leninist_AUS;Sozialistische LinksPartei;Sozialistische LinksPartei;Sozialistische LinksPartei;;Sozialistische LinksPartei;;;;;;;;;;x
stalinist_AUS;Kommunistische Partei 謘terreichs;Kommunistische Partei 謘terreichs;Kommunistische Partei 謘terreichs;;Kommunistische Partei 謘terreichs;;;;;;;;;;x
national_socialist_AST;澳大利亚绿党;Green Australia;Green Australia;;Green Australia;;;;;;;;;;x
fascistic_AST;澳大利亚第一党;Australia First Party;Australia First Party;;Australia First Party;;;;;;;;;;x
paternal_autocrat_AST;单一民族党;One Nation;One Nation;;One Nation;;;;;;;;;;x
social_conservative_AST;澳大利亚国家党;National Party of Australia;National Party of Australia;;National Party of Australia;;;;;;;;;;x
market_liberal_AST;澳大利亚自由党;Liberal Party of Australia;Liberal Party of Australia;;Liberal Party of Australia;;;;;;;;;;x
social_liberal_AST;澳大利亚民主党;Australian Democrats;Australian Democrats;;Australian Democrats;;;;;;;;;;x
social_democrat_AST;澳大利亚工党;Australian Labor Party;Australian Labor Party;;Australian Labor Party;;;;;;;;;;x
left_wing_radical_AST;社会公平党;Socialist Equality Party;Socialist Equality Party;;Socialist Equality Party;;;;;;;;;;x
leninist_AST;社会主义者同盟;Socialist Alliance;Socialist Alliance;;Socialist Alliance;;;;;;;;;;x
stalinist_AST;澳大利亚共产党;Communist Party of Australia;Communist Party of Australia;;Communist Party of Australia;;;;;;;;;;x
national_socialist_AZB;Azerbaycan Islam Partiyasi;Azerbaycan Islam Partiyasi;Azerbaycan Islam Partiyasi;;Azerbaycan Islam Partiyasi;;;;;;;;;;x
fascistic_AZB;Yurddas Partiyasi;Yurddas Partiyasi;Yurddas Partiyasi;;Yurddas Partiyasi;;;;;;;;;;x
paternal_autocrat_AZB;Vetendas Hemreyliyi Partiyasi;Vetendas Hemreyliyi Partiyasi;Vetendas Hemreyliyi Partiyasi;;Vetendas Hemreyliyi Partiyasi;;;;;;;;;;x
social_conservative_AZB;Azerbaycan Xalq Cebhesi Partiyasi;Azerbaycan Xalq Cebhesi Partiyasi;Azerbaycan Xalq Cebhesi Partiyasi;;Azerbaycan Xalq Cebhesi Partiyasi;;;;;;;;;;x
market_liberal_AZB;M黶avat Partiyasi;M黶avat Partiyasi;M黶avat Partiyasi;;M黶avat Partiyasi;;;;;;;;;;x
social_liberal_AZB;Yeni Azerbaycan Partiyasi;Yeni Azerbaycan Partiyasi;Yeni Azerbaycan Partiyasi;;Yeni Azerbaycan Partiyasi;;;;;;;;;;x
social_democrat_AZB;Azerbaycan Sosial-Demokrat Partiyasi;Azerbaycan Sosial-Demokrat Partiyasi;Azerbaycan Sosial-Demokrat Partiyasi;;Azerbaycan Sosial-Demokrat Partiyasi;;;;;;;;;;x
left_wing_radical_AZB;Sol Ittifaq;Sol Ittifaq;Sol Ittifaq;;Sol Ittifaq;;;;;;;;;;x
leninist_AZB;Sosialist Partiyasi;Sosialist Partiyasi;Sosialist Partiyasi;;Sosialist Partiyasi;;;;;;;;;;x
stalinist_AZB;Azerbaycan Kommunist Partiyasi;Azerbaycan Kommunist Partiyasi;Azerbaycan Kommunist Partiyasi;;Azerbaycan Kommunist Partiyasi;;;;;;;;;;x
national_socialist_BAA;巴哈马绿党;Green Bahamas;Green Bahamas;;Green Bahamas;;;;;;;;;;x
fascistic_BAA;君主党;Sovereign Party;Sovereign Party;;Sovereign Party;;;;;;;;;;x
paternal_autocrat_BAA;巴哈马人党;Bahamian Party;Bahamian Party;;Bahamian Party;;;;;;;;;;x
social_conservative_BAA;保守党;Conservative Party;Conservative Party;;Conservative Party;;;;;;;;;;x
market_liberal_BAA;自由民族运动;Free National Movement;Free National Movement;;Free National Movement;;;;;;;;;;x
social_liberal_BAA;进步自由党;Proggressive Liberal Party;Proggressive Liberal Party;;Proggressive Liberal Party;;;;;;;;;;x
social_democrat_BAA;劳动党;Labour Party;Labour Party;;Labour Party;;;;;;;;;;x
left_wing_radical_BAA;工人党;Workers' Party;Workers' Party;;Workers' Party;;;;;;;;;;x
leninist_BAA;社会党;Socialist Party;Socialist Party;;Socialist Party;;;;;;;;;;x
stalinist_BAA;共产党;Communist Party;Communist Party;;Communist Party;;;;;;;;;;x
national_socialist_BAH;Hizb ut-Tahrir;Hizb ut-Tahrir;Hizb ut-Tahrir;;Hizb ut-Tahrir;;;;;;;;;;x
fascistic_BAH;Ba'ath Party;Ba'ath Party;Ba'ath Party;;Ba'ath Party;;;;;;;;;;x
paternal_autocrat_BAH;Bahrainis;Bahrainis;Bahrainis;;Bahrainis;;;;;;;;;;x
social_conservative_BAH;Conservatives;Conservatives;Conservatives;;Conservatives;;;;;;;;;;x
market_liberal_BAH;Market Liberals;Market Liberals;Market Liberals;;Market Liberals;;;;;;;;;;x
social_liberal_BAH;Social Liberals;Social Liberals;Social Liberals;;Social Liberals;;;;;;;;;;x
social_democrat_BAH;Social Democrats;Social Democrats;Social Democrats;;Social Democrats;;;;;;;;;;x
left_wing_radical_BAH;Leftists;Leftists;Leftists;;Leftists;;;;;;;;;;x
leninist_BAH;Socialists;Socialists;Socialists;;Socialists;;;;;;;;;;x
stalinist_BAH;Communists;Communists;Communists;;Communists;;;;;;;;;;x
national_socialist_BAN;Bangladesh Jamaat-e-Islami;Bangladesh Jamaat-e-Islami;Bangladesh Jamaat-e-Islami;;Bangladesh Jamaat-e-Islami;;;;;;;;;;x
fascistic_BAN;Amar Shonar Bangla;Amar Shonar Bangla;Amar Shonar Bangla;;Amar Shonar Bangla;;;;;;;;;;x
paternal_autocrat_BAN;Bangladesh Jatiotabadi D鬺;Bangladesh Jatiotabadi D鬺;Bangladesh Jatiotabadi D鬺;;Bangladesh Jatiotabadi D鬺;;;;;;;;;;x
social_conservative_BAN;Raksanasila Dala;Raksanasila Dala;Raksanasila Dala;;Raksanasila Dala;;;;;;;;;;x
market_liberal_BAN;Libarela Demokretika Parti;Libarela Demokretika Parti;Libarela Demokretika Parti;;Libarela Demokretika Parti;;;;;;;;;;x
social_liberal_BAN;Banladasa A'oyami Liga;Banladasa A'oyami Liga;Banladasa A'oyami Liga;;Banladasa A'oyami Liga;;;;;;;;;;x
social_democrat_BAN;Samajika Ganatantrika Parti;Samajika Ganatantrika Parti;Samajika Ganatantrika Parti;;Samajika Ganatantrika Parti;;;;;;;;;;x
left_wing_radical_BAN;Jatiyo Samajtantrik Dal;Jatiyo Samajtantrik Dal;Jatiyo Samajtantrik Dal;;Jatiyo Samajtantrik Dal;;;;;;;;;;x
leninist_BAN;Banladesera Samajatantrika Dala Basada;Banladesera Samajatantrika Dala Basada;Banladesera Samajatantrika Dala Basada;;Banladesera Samajatantrika Dala Basada;;;;;;;;;;x
stalinist_BAN;Banladesera Kami'unista Parti;Banladesera Kami'unista Parti;Banladesera Kami'unista Parti;;Banladesera Kami'unista Parti;;;;;;;;;;x
national_socialist_BAR;Green Barbados;Green Barbados;Green Barbados;;Green Barbados;;;;;;;;;;x
fascistic_BAR;Pan-Caribbean Congress;Pan-Caribbean Congress;Pan-Caribbean Congress;;Pan-Caribbean Congress;;;;;;;;;;x
paternal_autocrat_BAR;Barbadian Party;Barbadian Party;Barbadian Party;;Barbadian Party;;;;;;;;;;x
social_conservative_BAR;National Democratic Party;National Democratic Party;National Democratic Party;;National Democratic Party;;;;;;;;;;x
market_liberal_BAR;Liberal Party;Liberal Party;Liberal Party;;Liberal Party;;;;;;;;;;x
social_liberal_BAR;People's Proggressive Movement;People's Proggressive Movement;People's Proggressive Movement;;People's Proggressive Movement;;;;;;;;;;x
social_democrat_BAR;Barbados Labour Party;Barbados Labour Party;Barbados Labour Party;;Barbados Labour Party;;;;;;;;;;x
left_wing_radical_BAR;Democratic Labour Party;Democratic Labour Party;Democratic Labour Party;;Democratic Labour Party;;;;;;;;;;x
leninist_BAR;Socialist Party;Socialist Party;Socialist Party;;Socialist Party;;;;;;;;;;x
stalinist_BAR;Workers Party of Barbados;Workers Party of Barbados;Workers Party of Barbados;;Workers Party of Barbados;;;;;;;;;;x
national_socialist_BEL;De Belgische Moslim Executief;De Belgische Moslim Executief;De Belgische Moslim Executief;;De Belgische Moslim Executief;;;;;;;;;;x
fascistic_BEL;Front Nouveau de Belgique;Front Nouveau de Belgique;Front Nouveau de Belgique;;Front Nouveau de Belgique;;;;;;;;;;x
paternal_autocrat_BEL;Le Front National;Le Front National;Le Front National;;Le Front National;;;;;;;;;;x
social_conservative_BEL;Christen-Democratisch en Vlaams;Christen-Democratisch en Vlaams;Christen-Democratisch en Vlaams;;Christen-Democratisch en Vlaams;;;;;;;;;;x
market_liberal_BEL;Parti R閒ormateur Lib閞al;Parti R閒ormateur Lib閞al;Parti R閒ormateur Lib閞al;;Parti R閒ormateur Lib閞al;;;;;;;;;;x
social_liberal_BEL;Open Vlaamse Liberalen en Democraten;Open Vlaamse Liberalen en Democraten;Open Vlaamse Liberalen en Democraten;;Open Vlaamse Liberalen en Democraten;;;;;;;;;;x
social_democrat_BEL;Parti Socialiste;Parti Socialiste;Parti Socialiste;;Parti Socialiste;;;;;;;;;;x
left_wing_radical_BEL;Socialistische Partij Anders;Socialistische Partij Anders;Socialistische Partij Anders;;Socialistische Partij Anders;;;;;;;;;;x
leninist_BEL;Partij van de Arbeid van Belgi?Partij van de Arbeid van Belgi?Partij van de Arbeid van Belgi?;Partij van de Arbeid van Belgi?;;;;;;;;;x
stalinist_BEL;Parti Communiste;Parti Communiste;Parti Communiste;;Parti Communiste;;;;;;;;;;x
national_socialist_BEN;Verd Benin;Verd Benin;Verd Benin;;Verd Benin;;;;;;;;;;x
fascistic_BEN;L'Aube Nouvelle;L'Aube Nouvelle;L'Aube Nouvelle;;L'Aube Nouvelle;;;;;;;;;;x
paternal_autocrat_BEN;Parti National Ensemble;Parti National Ensemble;Parti National Ensemble;;Parti National Ensemble;;;;;;;;;;x
social_conservative_BEN;Parti du Renouveau D閙ocratique;Parti du Renouveau D閙ocratique;Parti du Renouveau D閙ocratique;;Parti du Renouveau D閙ocratique;;;;;;;;;;x
market_liberal_BEN;Front D'Action pour le R閚ouveau et le D関eloppement;Front D'Action pour le R閚ouveau et le D関eloppement;Front D'Action pour le R閚ouveau et le D関eloppement;;Front D'Action pour le R閚ouveau et le D関eloppement;;;;;;;;;;x
social_liberal_BEN;Parti de la Renaissance du B閚in;Parti de la Renaissance du B閚in;Parti de la Renaissance du B閚in;;Parti de la Renaissance du B閚in;;;;;;;;;;x
social_democrat_BEN;Parti Social-D閙ocrate;Parti Social-D閙ocrate;Parti Social-D閙ocrate;;Parti Social-D閙ocrate;;;;;;;;;;x
left_wing_radical_BEN;Mouvement Africain pour la D関elloppement et le Progr鑣;Mouvement Africain pour la D関elloppement et le Progr鑣;Mouvement Africain pour la D関elloppement et le Progr鑣;;Mouvement Africain pour la D関elloppement et le Progr鑣;;;;;;;;;;x
leninist_BEN;Union pour la Patrie et le Travail;Union pour la Patrie et le Travail;Union pour la Patrie et le Travail;;Union pour la Patrie et le Travail;;;;;;;;;;x
stalinist_BEN;Parti Communiste du B閚in;Parti Communiste du B閚in;Parti Communiste du B閚in;;Parti Communiste du B閚in;;;;;;;;;;x
national_socialist_BHU;不丹绿党;Green Bhutan;Green Bhutan;;Green Bhutan;;;;;;;;;;x
fascistic_BHU;皇家国会;Druk National Congress;Druk National Congress;;Druk National Congress;;;;;;;;;;x
paternal_autocrat_BHU;不丹国家党;Bhutan National Party;Bhutan National Party;;Bhutan National Party;;;;;;;;;;x
social_conservative_BHU;不丹人民联盟党;Bhutan People's Unity Party;Bhutan People's Unity Party;;Bhutan People's Unity Party;;;;;;;;;;x
market_liberal_BHU;全体人民党;All People's Party;All People's Party;;All People's Party;;;;;;;;;;x
social_liberal_BHU;Mi-ser Dmangs-gtsoi Tshogs-pa;Mi-ser Dmangs-gtsoi Tshogs-pa;Mi-ser Dmangs-gtsoi Tshogs-pa;;Mi-ser Dmangs-gtsoi Tshogs-pa;;;;;;;;;;x
social_democrat_BHU;不丹人民党;Bhutan Peoples' Party;Bhutan Peoples' Party;;Bhutan Peoples' Party;;;;;;;;;;x
left_wing_radical_BHU;左翼党;Leftist Party;Leftist Party;;Leftist Party;;;;;;;;;;x
leninist_BHU;不丹共产党;Bhutan Communist Party;Bhutan Communist Party;;Bhutan Communist Party;;;;;;;;;;x
stalinist_BHU;不丹虎军;Bhutan Tiger Force;Bhutan Tiger Force;;Bhutan Tiger Force;;;;;;;;;;x
national_socialist_BLR;Zialionyja Bielarusi;Zialionyja Bielarusi;Zialionyja Bielarusi;;Zialionyja Bielarusi;;;;;;;;;;x
fascistic_BLR;Partyja BNF;Partyja BNF;Partyja BNF;;Partyja BNF;;;;;;;;;;x
paternal_autocrat_BLR;Libera?na Demakraty?naja Partyja;Libera?na Demakraty?naja Partyja;Libera?na Demakraty?naja Partyja;;Libera?na Demakraty?naja Partyja;;;;;;;;;;x
social_conservative_BLR;Belaya Rus;Belaya Rus;Belaya Rus;;Belaya Rus;;;;;;;;;;x
market_liberal_BLR;Respublikanskaja Partyja;Respublikanskaja Partyja;Respublikanskaja Partyja;;Respublikanskaja Partyja;;;;;;;;;;x
social_liberal_BLR;Sacyjal Demakraty?naja Partyja Narodnaj Zhody;Sacyjal Demakraty?naja Partyja Narodnaj Zhody;Sacyjal Demakraty?naja Partyja Narodnaj Zhody;;Sacyjal Demakraty?naja Partyja Narodnaj Zhody;;;;;;;;;;x
social_democrat_BLR;Respublikanskaja Partyja Pracy I Spraviadliva?ci;Respublikanskaja Partyja Pracy I Spraviadliva?ci;Respublikanskaja Partyja Pracy I Spraviadliva?ci;;Respublikanskaja Partyja Pracy I Spraviadliva?ci;;;;;;;;;;x
left_wing_radical_BLR;Bielaruskaja Sacyja?na Spartyjnaja Partyja;Bielaruskaja Sacyja?na Spartyjnaja Partyja;Bielaruskaja Sacyja?na Spartyjnaja Partyja;;Bielaruskaja Sacyja?na Spartyjnaja Partyja;;;;;;;;;;x
leninist_BLR;Agrarnaya Partya;Agrarnaya Partya;Agrarnaya Partya;;Agrarnaya Partya;;;;;;;;;;x
stalinist_BLR;Kamunistychnaya Partyia Belarusi;Kamunistychnaya Partyia Belarusi;Kamunistychnaya Partyia Belarusi;;Kamunistychnaya Partyia Belarusi;;;;;;;;;;x
national_socialist_BLZ;Green Belize;Green Belize;Green Belize;;Green Belize;;;;;;;;;;x
fascistic_BLZ;Sovereign Party;Sovereign Party;Sovereign Party;;Sovereign Party;;;;;;;;;;x
paternal_autocrat_BLZ;Belizean Party;Belizean Party;Belizean Party;;Belizean Party;;;;;;;;;;x
social_conservative_BLZ;United Democratic Party;United Democratic Party;United Democratic Party;;United Democratic Party;;;;;;;;;;x
market_liberal_BLZ;People's National Party;People's National Party;People's National Party;;People's National Party;;;;;;;;;;x
social_liberal_BLZ;Liberal Party;Liberal Party;Liberal Party;;Liberal Party;;;;;;;;;;x
social_democrat_BLZ;People's United Party;People's United Party;People's United Party;;People's United Party;;;;;;;;;;x
left_wing_radical_BLZ;Leftist Party;Leftist Party;Leftist Party;;Leftist Party;;;;;;;;;;x
leninist_BLZ;Socialist Party;Socialist Party;Socialist Party;;Socialist Party;;;;;;;;;;x
stalinist_BLZ;Communist Party;Communist Party;Communist Party;;Communist Party;;;;;;;;;;x
national_socialist_BOL;Verde Bolivia;Verde Bolivia;Verde Bolivia;;Verde Bolivia;;;;;;;;;;x
fascistic_BOL;Falange Socialista Boliviana;Falange Socialista Boliviana;Falange Socialista Boliviana;;Falange Socialista Boliviana;;;;;;;;;;x
paternal_autocrat_BOL;Movimiento Nacionalista Revolucionario;Movimiento Nacionalista Revolucionario;Movimiento Nacionalista Revolucionario;;Movimiento Nacionalista Revolucionario;;;;;;;;;;x
social_conservative_BOL;Poder Democr醫ico y Social;Poder Democr醫ico y Social;Poder Democr醫ico y Social;;Poder Democr醫ico y Social;;;;;;;;;;x
