m;;;;;;;;;;;;;;x
BOT;博茨瓦纳;;;;;;;;;;;;;;x
LES;莱索托;;;;;;;;;;;;;;x
SWA;斯威士兰;;;;;;;;;;;;;;x
COM;科摩罗;;;;;;;;;;;;;;x
SEY;塞舌尔;;;;;;;;;;;;;;x
MUR;毛里求斯;;;;;;;;;;;;;;x
BAN;孟加拉国;;;;;;;;;;;;;;x
SIN;新加坡;;;;;;;;;;;;;;x
MLD;马尔代夫;;;;;;;;;;;;;;x
SRI;斯里兰卡;;;;;;;;;;;;;;x
ETI;东帝汶;;;;;;;;;;;;;;x
SOL;所罗门群岛;;;;;;;;;;;;;;x
PNG;巴布亚新几内亚;;;;;;;;;;;;;;x
VAN;瓦努阿图;;;;;;;;;;;;;;x
NAU;瑙鲁;;;;;;;;;;;;;;x
PAA;帕劳;;;;;;;;;;;;;;x
MIC;密克罗尼西亚;;;;;;;;;;;;;;x
MAR;马绍尔群岛;;;;;;;;;;;;;;x
KIR;基里巴斯;;;;;;;;;;;;;;x
TUV;图瓦卢;;;;;;;;;;;;;;x
SAM;萨摩亚;;;;;;;;;;;;;;x
FIJ;斐济;;;;;;;;;;;;;;x
SUR;苏里南;;;;;;;;;;;;;;x
BLZ;伯利兹;;;;;;;;;;;;;;x
BAA;巴哈马;;;;;;;;;;;;;;x
JAM;牙买加;;;;;;;;;;;;;;x
AAB;安提瓜和巴布达;;;;;;;;;;;;;;x
LUC;圣卢西亚;;;;;;;;;;;;;;x
KAN;圣基茨和尼维斯;;;;;;;;;;;;;;x
BAR;巴巴多斯;;;;;;;;;;;;;;x
GRN;格林纳达;;;;;;;;;;;;;;x
TAT;特立尼达和多巴哥;;;;;;;;;;;;;;x
NOV;新俄罗斯;;;;;;;;;;;;;;x
WNN;世界;;;;;;;;;;;;;;x
REB_ADJ;反抗军的;;;;;;;;;;;;;;x
GER_ADJ;德国的;;;;;;;;;;;;;;x
ENG_ADJ;英国的;;;;;;;;;;;;;;x
SOV_ADJ;俄罗斯的;;;;;;;;;;;;;;x
USA_ADJ;美国的;;;;;;;;;;;;;;x
JAP_ADJ;日本的;;;;;;;;;;;;;;x
FRA_ADJ;法国的;;;;;;;;;;;;;;x
ITA_ADJ;意大利的;;;;;;;;;;;;;;x
DEN_ADJ;丹麦的;;;;;;;;;;;;;;x
ICL_ADJ;冰岛的;;;;;;;;;;;;;;x
EST_ADJ;爱沙尼亚的;;;;;;;;;;;;;;x
FIN_ADJ;芬兰的;;;;;;;;;;;;;;x
LAT_ADJ;拉脱维亚的;;;;;;;;;;;;;;x
LIT_ADJ;立陶宛的;;;;;;;;;;;;;;x
NOR_ADJ;挪威的;;;;;;;;;;;;;;x
SWE_ADJ;瑞典的;;;;;;;;;;;;;;x
BEL_ADJ;比利时的;;;;;;;;;;;;;;x
HOL_ADJ;荷兰的;;;;;;;;;;;;;;x
IRE_ADJ;爱尔兰的;;;;;;;;;;;;;;x
LUX_ADJ;卢森堡的;;;;;;;;;;;;;;x
SCO_ADJ;苏格兰的;;;;;;;;;;;;;;x
AUS_ADJ;奥地利的;;;;;;;;;;;;;;x
CZE_ADJ;捷克的;;;;;;;;;;;;;;x
CRO_ADJ;克罗地亚的;;;;;;;;;;;;;;x
HUN_ADJ;匈牙利的;;;;;;;;;;;;;;x
POL_ADJ;波兰的;;;;;;;;;;;;;;x
ROM_ADJ;罗马尼亚的;;;;;;;;;;;;;;x
SLO_ADJ;斯洛伐克的;;;;;;;;;;;;;;x
SLV_ADJ;斯洛文尼亚的;;;;;;;;;;;;;;x
SCH_ADJ;瑞士的的;;;;;;;;;;;;;;x
POR_ADJ;葡萄牙的;;;;;;;;;;;;;;x
SPA_ADJ;西班牙的;;;;;;;;;;;;;;x
SPR_ADJ;西班牙的;;;;;;;;;;;;;;x
ALB_ADJ;阿尔巴尼亚的;;;;;;;;;;;;;;x
BOS_ADJ;波斯尼亚和黑塞哥维那的;;;;;;;;;;;;;;x
BUL_ADJ;保加利亚的;;;;;;;;;;;;;;x
GRE_ADJ;希腊的;;;;;;;;;;;;;;x
MTN_ADJ;黑山的;;;;;;;;;;;;;;x
TNZ_ADJ;坦桑尼亚的;;;;;;;;;;;;;;x
SER_ADJ;塞尔维亚的;;;;;;;;;;;;;;x
BLR_ADJ;白俄罗斯的;;;;;;;;;;;;;;x
PRI_ADJ;普利摩斯克的;;;;;;;;;;;;;;x
UKR_ADJ;乌克兰的;;;;;;;;;;;;;;x
AFG_ADJ;阿富汗的;;;;;;;;;;;;;;x
ARM_ADJ;亚美尼亚的;;;;;;;;;;;;;;x
AZB_ADJ;阿塞拜疆的;;;;;;;;;;;;;;x
CYP_ADJ;塞浦路斯的;;;;;;;;;;;;;;x
GEO_ADJ;格鲁吉亚的;;;;;;;;;;;;;;x
IRQ_ADJ;伊拉克的;;;;;;;;;;;;;;x
ISR_ADJ;以色列的;;;;;;;;;;;;;;x
JOR_ADJ;约旦的;;;;;;;;;;;;;;x
LEB_ADJ;黎巴嫩的;;;;;;;;;;;;;;x
OMN_ADJ;阿曼的;;;;;;;;;;;;;;x
PAL_ADJ;巴勒斯坦的;;;;;;;;;;;;;;x
PER_ADJ;伊朗的;;;;;;;;;;;;;;x
SAU_ADJ;沙特阿拉伯的;;;;;;;;;;;;;;x
SYR_ADJ;叙利亚的;;;;;;;;;;;;;;x
TUR_ADJ;土耳其的;;;;;;;;;;;;;;x
YEM_ADJ;也门的;;;;;;;;;;;;;;x
KAZ_ADJ;哈萨克斯坦的;;;;;;;;;;;;;;x
KUR_ADJ;库尔德斯坦的;;;;;;;;;;;;;;x
KYG_ADJ;吉尔吉斯斯坦的;;;;;;;;;;;;;;x
TAJ_ADJ;塔吉克斯坦的;;;;;;;;;;;;;;x
TRK_ADJ;土库曼斯坦的;;;;;;;;;;;;;;x
UZB_ADJ;乌兹别克斯坦的;;;;;;;;;;;;;;x
BHU_ADJ;不丹的;;;;;;;;;;;;;;x
IND_ADJ;印度的;;;;;;;;;;;;;;x
NEP_ADJ;尼泊尔的;;;;;;;;;;;;;;x
PAK_ADJ;巴基斯坦的;;;;;;;;;;;;;;x
CHC_ADJ;中华人民共和国的;;;;;;;;;;;;;;x
CHI_ADJ;中华民国的;;;;;;;;;;;;;;x
KOR_ADJ;韩国的;;;;;;;;;;;;;;x
MON_ADJ;蒙古的;;;;;;;;;;;;;;x
PRK_ADJ;朝鲜的;;;;;;;;;;;;;;x
BRU_ADJ;文莱的;;;;;;;;;;;;;;x
BUR_ADJ;缅甸的;;;;;;;;;;;;;;x
CMB_ADJ;柬埔寨的;;;;;;;;;;;;;;x
INO_ADJ;印度尼西亚的;;;;;;;;;;;;;;x
LAO_ADJ;老挝的;;;;;;;;;;;;;;x
MLY_ADJ;马来西亚的;;;;;;;;;;;;;;x
PHI_ADJ;菲律宾的;;;;;;;;;;;;;;x
SAR_ADJ;沙捞越的;;;;;;;;;;;;;;x
SIA_ADJ;泰国的;;;;;;;;;;;;;;x
VIE_ADJ;越南的;;;;;;;;;;;;;;x
ALG_ADJ;阿尔及利亚的;;;;;;;;;;;;;;x
EGY_ADJ;埃及的;;;;;;;;;;;;;;x
LBY_ADJ;利比亚的;;;;;;;;;;;;;;x
MOR_ADJ;摩洛哥的;;;;;;;;;;;;;;x
SUD_ADJ;苏丹的;;;;;;;;;;;;;;x
TUN_ADJ;突尼斯的;;;;;;;;;;;;;;x
BEN_ADJ;贝宁的;;;;;;;;;;;;;;x
GUI_ADJ;几内亚的;;;;;;;;;;;;;;x
LIB_ADJ;利比里亚的;;;;;;;;;;;;;;x
MAL_ADJ;马里的;;;;;;;;;;;;;;x
NIG_ADJ;尼日利亚的;;;;;;;;;;;;;;x
SIE_ADJ;塞拉利昂的;;;;;;;;;;;;;;x
KON_ADJ;刚果的;;;;;;;;;;;;;;x
ETH_ADJ;埃塞俄比亚的;;;;;;;;;;;;;;x
GAB_ADJ;加蓬的;;;;;;;;;;;;;;x
CAM_ADJ;喀麦隆的;;;;;;;;;;;;;;x
SOM_ADJ;索马里的;;;;;;;;;;;;;;x
ANG_ADJ;安哥拉的;;;;;;;;;;;;;;x
MAD_ADJ;马达加斯加的;;;;;;;;;;;;;;x
MOZ_ADJ;莫桑比克的;;;;;;;;;;;;;;x
NAM_ADJ;纳米比亚的;;;;;;;;;;;;;;x
SAF_ADJ;南非的;;;;;;;;;;;;;;x
AST_ADJ;澳大利亚的;;;;;;;;;;;;;;x
NZL_ADJ;新西兰的;;;;;;;;;;;;;;x
CAN_ADJ;加拿大的;;;;;;;;;;;;;;x
CUB_ADJ;古巴的;;;;;;;;;;;;;;x
COS_ADJ;哥斯达黎加的;;;;;;;;;;;;;;x
DOM_ADJ;多米尼加的;;;;;;;;;;;;;;x
GUA_ADJ;危地马拉的;;;;;;;;;;;;;;x
HAI_ADJ;海地的;;;;;;;;;;;;;;x
HON_ADJ;洪都拉斯的;;;;;;;;;;;;;;x
NIC_ADJ;尼加拉瓜的;;;;;;;;;;;;;;x
PAN_ADJ;巴拿马的;;;;;;;;;;;;;;x
SAL_ADJ;萨尔瓦多的;;;;;;;;;;;;;;x
ARG_ADJ;阿根廷的;;;;;;;;;;;;;;x
BOL_ADJ;玻利维亚的;;;;;;;;;;;;;;x
BRA_ADJ;巴西的;;;;;;;;;;;;;;x
CHL_ADJ;智利的;;;;;;;;;;;;;;x
COL_ADJ;哥伦比亚的;;;;;;;;;;;;;;x
ECU_ADJ;厄瓜多尔的;;;;;;;;;;;;;;x
GUY_ADJ;圭亚那的;;;;;;;;;;;;;;x
MEX_ADJ;墨西哥的;;;;;;;;;;;;;;x
PAR_ADJ;巴拉圭的;;;;;;;;;;;;;;x
PRU_ADJ;秘鲁的;;;;;;;;;;;;;;x
URU_ADJ;乌拉圭的;;;;;;;;;;;;;;x
VEN_ADJ;委内瑞拉的;;;;;;;;;;;;;;x
WAL_ADJ;威尔士的;;;;;;;;;;;;;;x
NIR_ADJ;北爱尔兰的;;;;;;;;;;;;;;x
KOS_ADJ;科索沃的;;;;;;;;;;;;;;x
MAC_ADJ;马其顿的;;;;;;;;;;;;;;x
MLT_ADJ;马尔他的;;;;;;;;;;;;;;x
MOL_ADJ;摩尔多瓦的;;;;;;;;;;;;;;x
TRN_ADJ;德涅斯特河沿岸摩尔达维亚共和国的;;;;;;;;;;;;;;x
KUW_ADJ;科威特的;;;;;;;;;;;;;;x
UAE_ADJ;阿拉伯联合酋长国的;;;;;;;;;;;;;;x
QAT_ADJ;卡塔尔的;;;;;;;;;;;;;;x
BAH_ADJ;巴林的;;;;;;;;;;;;;;x
SAH_ADJ;阿拉伯撒哈拉民主共和国的;;;;;;;;;;;;;;x
MAU_ADJ;毛里塔尼亚的;;;;;;;;;;;;;;x
SEN_ADJ;塞内加尔的;;;;;;;;;;;;;;x
GAM_ADJ;冈比亚的;;;;;;;;;;;;;;x
CVE_ADJ;佛得角的;;;;;;;;;;;;;;x
GUB_ADJ;几内亚比绍的;;;;;;;;;;;;;;x
IVO_ADJ;科特迪瓦的;;;;;;;;;;;;;;x
GHA_ADJ;加纳的;;;;;;;;;;;;;;x
TOG_ADJ;多哥的;;;;;;;;;;;;;;x
BUF_ADJ;布基纳法索的;;;;;;;;;;;;;;x
NIE_ADJ;尼日尔的;;;;;;;;;;;;;;x
CAR_ADJ;中非的;;;;;;;;;;;;;;x
CHA_ADJ;乍得的;;;;;;;;;;;;;;x
SSU_ADJ;南苏丹的;;;;;;;;;;;;;;x
DAR_ADJ;达尔富尔的;;;;;;;;;;;;;;x
ERI_ADJ;厄立特里亚的;;;;;;;;;;;;;;x
DJI_ADJ;吉布提的;;;;;;;;;;;;;;x
STP_ADJ;圣多美和普林西比的;;;;;;;;;;;;;;x
EGU_ADJ;赤道几内亚的;;;;;;;;;;;;;;x
DRC_ADJ;刚果民主共和国的;;;;;;;;;;;;;;x
BUN_ADJ;布隆迪的;;;;;;;;;;;;;;x
UGA_ADJ;乌干达的;;;;;;;;;;;;;;x
RWA_ADJ;卢旺达的;;;;;;;;;;;;;;x
KEN_ADJ;肯尼亚的;;;;;;;;;;;;;;x
MLW_ADJ;马拉维的;;;;;;;;;;;;;;x
ZAM_ADJ;赞比亚的;;;;;;;;;;;;;;x
ZIM_ADJ;津巴布韦的;;;;;;;;;;;;;;x
BOT_ADJ;博茨瓦纳的;;;;;;;;;;;;;;x
LES_ADJ;莱索托的;;;;;;;;;;;;;;x
SWA_ADJ;斯威士兰的;;;;;;;;;;;;;;x
COM_ADJ;科摩罗的;;;;;;;;;;;;;;x
SEY_ADJ;塞舌尔的;;;;;;;;;;;;;;x
MUR_ADJ;毛里求斯的;;;;;;;;;;;;;;x
BAN_ADJ;孟加拉国的;;;;;;;;;;;;;;x
SIN_ADJ;新加坡的;;;;;;;;;;;;;;x
MLD_ADJ;马尔代夫的;;;;;;;;;;;;;;x
SRI_ADJ;斯里兰卡的;;;;;;;;;;;;;;x
ETI_ADJ;东帝汶的;;;;;;;;;;;;;;x
SOL_ADJ;所罗门群岛的;;;;;;;;;;;;;;x
PNG_ADJ;巴布亚新几内亚的;;;;;;;;;;;;;;x
VAN_ADJ;瓦努阿图的;;;;;;;;;;;;;;x
NAU_ADJ;瑙鲁的;;;;;;;;;;;;;;x
PAA_ADJ;帕劳的;;;;;;;;;;;;;;x
MIC_ADJ;密克罗尼西亚的;;;;;;;;;;;;;;x
MAR_ADJ;马绍尔群岛的;;;;;;;;;;;;;;x
KIR_ADJ;基里巴斯的;;;;;;;;;;;;;;x
TUV_ADJ;图瓦卢的;;;;;;;;;;;;;;x
SAM_ADJ;萨摩亚的;;;;;;;;;;;;;;x
FIJ_ADJ;斐济的;;;;;;;;;;;;;;x
SUR_ADJ;苏里南的;;;;;;;;;;;;;;x
BLZ_ADJ;伯利兹的;;;;;;;;;;;;;;x
BAA_ADJ;巴哈马的;;;;;;;;;;;;;;x
JAM_ADJ;牙买加的;;;;;;;;;;;;;;x
AAB_ADJ;安提瓜和巴布达的;;;;;;;;;;;;;;x
LUC_ADJ;圣卢西亚的;;;;;;;;;;;;;;x
KAN_ADJ;圣基茨和尼维斯的;;;;;;;;;;;;;;x
BAR_ADJ;巴巴多斯的;;;;;;;;;;;;;;x
GRN_ADJ;格林纳达的;;;;;;;;;;;;;;x
TAT_ADJ;特立尼达和多巴哥的;;;;;;;;;;;;;;x
NOV_ADJ;新俄罗斯的;;;;;;;;;;;;;;x
WNN_ADJ;世界的的;;;;;;;;;;;;;;x
